duration_ms_x,popularity,track_number,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,popularity_class
364613,7,9,0.585,0.579,0.463,0,7,0.0892,-9.657,1,0.0303,124.977,0.447,0
234160,14,2,0.487,0.534,0.659,0.0808,0,0.0892,-8.279,1,0.027000000000000003,107.052,0.4970000000000001,0
243160,71,2,0.289,0.537,0.7120000000000001,0.005679999999999999,5,0.08,-5.597,1,0.0286,159.871,0.7040000000000001,1
236453,55,5,0.638,0.568,0.609,0.5529999999999999,11,0.099,-7.167000000000002,1,0.0347,88.67299999999999,0.47,0
307213,8,3,0.0995,0.362,0.6579999999999999,0.0102,4,0.0602,-5.9289999999999985,1,0.0292,104.21,0.155,0
216853,52,1,0.308,0.486,0.636,1.33E-05,9,0.119,-6.0310000000000015,1,0.0281,80.405,0.642,0
239066,31,1,0.77,0.609,0.5539999999999999,3.3600000000000004e-05,9,0.672,-7.801,1,0.0395,90.098,0.28,0
317426,53,1,0.365,0.438,0.8059999999999999,0.0551,5,0.237,-5.7170000000000005,1,0.0395,96.156,0.489,0
203733,51,8,0.000625,0.579,0.662,3.89E-06,9,0.117,-6.885,1,0.0245,102.951,0.574,0
138346,52,1,5.17E-05,0.593,0.5579999999999999,0.774,2,0.0989,-11.182,1,0.052000000000000005,155.032,0.981,0
205893,56,1,0.149,0.5429999999999999,0.5489999999999999,0.08199999999999999,0,0.114,-6.497000000000001,1,0.0306,80.079,0.404,1
318423,56,4,0.00345,0.472,0.875,0.00576,4,0.128,-5.024,0,0.0446,136.064,0.461,1
294933,57,9,0.0445,0.555,0.7240000000000001,1.4E-05,9,0.18600000000000005,-9.429,1,0.0288,112.812,0.7240000000000001,1
185586,47,3,0.248,0.516,0.6709999999999999,0.000228,0,0.12,-8.727,1,0.0328,139.46200000000002,0.531,0
231173,22,6,0.605,0.669,0.389,0.16,0,0.0905,-11.547,1,0.0306,130.015,0.649,0
226999,60,2,0.00143,0.552,0.851,0.774,2,0.131,-6.229,1,0.033,154.96200000000005,0.938,1
212114,7,2,0.399,0.531,0.5820000000000001,6.01E-05,7,0.0541,-6.363,0,0.0259,80.046,0.35700000000000004,0
226933,66,5,0.056,0.688,0.7709999999999999,0.000106,1,0.0561,-4.463,1,0.0291,100.01,0.481,1
188410,9,1,0.391,0.715,0.52,0,9,0.0797,-6.933,1,0.0265,108.991,0.769,0
216038,15,1,0.319,0.445,0.591,0.7659999999999999,7,0.107,-9.004,0,0.0316,137.864,0.0774,0
260386,66,1,0.00878,0.596,0.894,0.00659,0,0.104,-5.407,1,0.0265,132.994,0.5720000000000001,1
222408,49,1,0.0521,0.588,0.507,0.722,7,0.188,-8.15,1,0.0297,128.041,0.515,0
187453,46,2,0.0367,0.679,0.4920000000000001,0.000153,11,0.0778,-6.291,0,0.0353,104.786,0.453,0
264813,62,6,0.0697,0.71,0.698,0,2,0.478,-5.7970000000000015,1,0.0332,104.007,0.852,1
182906,51,1,0.353,0.6,0.779,0.158,0,0.104,-8.142999999999999,1,0.0326,119.053,0.595,0
237973,67,1,0.893,0.581,0.4,0.5760000000000001,2,0.161,-8.738999999999999,1,0.0291,112.331,0.433,1
249773,10,1,0.32299999999999995,0.685,0.541,0.0158,9,0.151,-9.882,1,0.0457,120.04,0.487,0
265160,54,4,0.316,0.711,0.775,0,1,0.102,-4.04,1,0.0295,125.044,0.745,0
357160,6,3,0.584,0.5529999999999999,0.727,0.138,4,0.113,-6.395,0,0.0254,104.95,0.507,0
252011,44,2,0.354,0.5529999999999999,0.422,0.469,4,0.329,-8.687999999999999,1,0.0289,77.998,0.229,0
